representation,vectors,R5,R20,R100,core_union_R100,delta_R5_vs_baseline,delta_R100_vs_baseline,delta_core_R100_vs_baseline
baseline_atomic_truncate_2048,179737,0.8848328803699995,0.9456491679778762,0.9796619463119248,0.9925976255185238,0.0,0.0,0.0
atomic_split_2048,196117,0.911223954608306,0.9663424402803605,0.9869689600915462,0.9935035521861441,0.026391074238306444,0.007307013779621396,0.0009059266676202382
coarse_pack_1024,112899,0.9096862632908979,0.9689171792304391,0.988685452724932,0.9938611548180994,0.024853382920898337,0.009023506413007198,0.0012635292995756275
coarse_pack_2048,56170,0.8993753874028512,0.9640061030849187,0.9869808801792782,0.9935631526248033,0.014542507032851648,0.007318933867353383,0.0009655271062795068
