representation,vectors,R5,R100,core_R100,dual_core_R100,delta_R5,delta_R100,delta_core_R100,delta_dual_core_R100
lal_b4_atomic_truncate_2048,179737,0.8574953511657846,0.97994087636485,0.9938611548180994,0.9940757163972727,0.0,0.0,0.0,0.0
lal_atomic_split_2048,201019,0.8883326181280695,0.9877723740046728,0.9941829971868594,0.9943975587660326,0.030837266962284948,0.007831497639822715,0.0003218423687599836,0.0003218423687599836
lal_coarse_pack_1024,137943,0.8838506651408954,0.9886449244266438,0.9944809993801554,0.9948386020121108,0.026355313975110817,0.008704048061793701,0.0006198445620559934,0.0007628856148381713
