feature,mean_coef,std_coef,min_coef,max_coef
lal_b4__rr10,0.8335659027099609,0.06016954311635987,0.7584341764450073,0.9330120086669922
bm25__score_z,0.8067257761955261,0.06806557913398881,0.7104285955429077,0.8851400017738342
ait_coarse1024__score_z,0.782845675945282,0.07588470094414068,0.6933407187461853,0.8974210619926453
ait_atomic__rank_norm50,0.6922343611717224,0.10924468220394375,0.5993674993515015,0.88544100522995
mean_rr10_present,-0.6331395506858826,0.08430545192811657,-0.771312415599823,-0.5340986251831055
lal_b4__rank_norm50,0.6195893287658691,0.057234172775122896,0.5446853041648865,0.6889210939407349
ait_coarse1024__rr10,0.6151504278182983,0.04428841057037102,0.5436444282531738,0.6580608487129211
ait_coarse1024__rank_norm50,0.6128628849983215,0.11711628945734281,0.4338643550872803,0.7763247489929199
ait_atomic__rr10,0.6020586013793945,0.04827753160924035,0.5242601037025452,0.6547060012817383
min_rank_norm50,-0.5465306222438813,0.1414691552672828,-0.7656775712966919,-0.39117521047592163
ait_atomic__score_z,0.5321694433689117,0.09858842411528354,0.3976779580116272,0.6998924612998962
bm25__present,-0.5286426365375518,0.08002431451309423,-0.6778213977813721,-0.4601123034954071
rrf60,-0.5058823585510254,0.07525983627352559,-0.6046888828277588,-0.4073573648929596
mean_rank_norm50_present,-0.40913552045822144,0.17549890578850236,-0.6735153794288635,-0.1414080560207367
ait_atomic__top_gap_z,-0.3337797999382019,0.03367928173345244,-0.3894256055355072,-0.3008783757686615
bm25__rank_norm50,0.3235660016536713,0.16171784404709993,0.09511801600456238,0.520241379737854
best_rr10,0.3069580286741257,0.04262388004806812,0.2490851730108261,0.3522889018058777
bm25__rr10,0.26859963238239287,0.043193781531424974,0.19881032407283783,0.3194955587387085
ait_coarse1024__top_gap_z,-0.2683934926986694,0.035232320450309475,-0.30628082156181335,-0.2128675878047943
lal_b4__present,0.20965924561023713,0.04345674359251896,0.157734215259552,0.2746594250202179
lal_b4__score_z,0.15561291724443435,0.07292596313241605,0.08794347196817398,0.2529103755950928
count_top5,-0.15424234569072723,0.012040797720333023,-0.16779397428035736,-0.138724684715271
lal_b4__top_gap_z,-0.1478530764579773,0.008843491130490773,-0.15956491231918335,-0.13223236799240112
count_top10,-0.14690350890159606,0.016847624045182964,-0.16740727424621582,-0.11767725646495819
bm25__top_gap_z,-0.1289298102259636,0.016601423797168093,-0.15300409495830536,-0.10244521498680115
ait_coarse1024__present,0.12255408614873886,0.03022999493838062,0.08711767941713333,0.16799284517765045
source_count,-0.09736772868782281,0.09022020514874214,-0.24468810856342316,0.008079237304627895
count_top20,-0.01516262125223875,0.06857636502699037,-0.12267033755779266,0.09178850054740906
ait_atomic__present,0.008222490549087524,0.10438633323100653,-0.15526825189590454,0.14284102618694305
