config,sources,oracle_r50,mean_pool,oof_r5,oof_p5,single_r5,multi_r5,seconds
all_cached6,ait_atomic|ait_coarse1024|lal_coarse1024|lal_atomic|lal_b4|bm25,0.9928670195012635,127.99327707051924,0.9358150955991037,0.1997139178944357,0.9537267080745342,0.7264670296430732,50.00458450001315
dual_ait_dual_lal5,ait_atomic|ait_coarse1024|lal_coarse1024|lal_atomic|bm25,0.9927907309397798,126.03504505793163,0.9351833309493158,0.19962809326276643,0.9527950310559006,0.729340592861464,52.802126900001895
dual_ait4,ait_atomic|ait_coarse1024|lal_coarse1024|bm25,0.9920993658513326,118.29824059505079,0.933776760596958,0.19925618652553284,0.9517080745341615,0.7241984271022383,40.83811680000508
compact3,ait_coarse1024|lal_coarse1024|bm25,0.9910146378677347,108.45873265627235,0.9266008677823869,0.1978829924188242,0.9436335403726708,0.7275257108287961,34.4963354000065
