archetype,queries,fraction,mean_source_disagreement_at5,mean_ce_margin5_minus6,ce_set_churn_rate,mean_top5_union_size
CONDITION,271,0.13707637835103692,0.5596673109588238,0.7183175245334301,0.4944649446494465,11.892988929889299
DEFINITION,117,0.05918057663125948,0.6332768054990277,0.5613810221354166,0.5641025641025641,13.88888888888889
DIRECT_REF,92,0.04653515427415276,0.6032637451115712,0.6170033993928329,0.532608695652174,12.815217391304348
GENERAL_SEMANTIC,985,0.49822964087000504,0.605170681921951,0.6205564237488103,0.5756345177664974,12.852791878172589
PROCEDURE,403,0.20384420839656045,0.5774495516431,0.6722404016158717,0.6029776674937966,12.310173697270471
SANCTION,109,0.05513404147698533,0.6023324110480073,0.6429656142488532,0.6788990825688074,12.596330275229358
